Title,Date added,Template,Vulnerable Population?,Age Range,Named Detainee,Gender,Status,Event 1 Date Range,Event 1 Violations,Event 2 Date Range,Event 2 Violations,Event 3 Date Range,Event 3 Violation,Related Penal Facilities,Province Where the Penal Facility is Located,Penal Facility Affiliation,Related Type of Penal Facility,Documents,Attachments,Published
A1803,12/12/2022,Detainees,Women,50-59,Named,Female,Released from all facilities,01/04/2017~30/09/2017,"Arbitrary Deprivation of Liberty_A1803|Violation of Freedom of Expression_2_A1803|Violation of Freedom of Expression_1_A1803|Violation of Freedom of Expression_3_A1803|Violation of Right to Health_1_A1803|Violation of Right to Health_2_A1803|Violation of Right to Health_3_A1803|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1803|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A1803|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1803|Violation of the Right to a Fair Trial_A1803|Torture & CID_2_A1803|Torture & CID_1_A1803|Torture & CID_3_A1803|Rape & Other Forms of Sexual Violence_1_A1803|Rape & Other Forms of Sexual Violence_2_A1803|Rape & Other Forms of Sexual Violence_3_A1803|Sexual and Gender-based Violence_2_A1803|Sexual and Gender-based Violence_1_A1803",,,,,"Hyesan City Labour Training Centre|Hyesan City MPS Waiting Room|Samjiyon County MSS Detention Centre|Hyesan City MSS  Detention Centre","Ryanggang|Ryanggang|Ryanggang|Ryanggang","People's Committee of North Korea|Ministry of People's Security|Ministry of State Security|Ministry of State Security","Labour Training Centre|Waiting Room|Detention Centre|Detention Centre",,,Published
A1788,09/12/2022,Detainees,Women,30-39,Unnamed,Female,Released from all facilities,10/05/2003~30/06/2003,"Arbitrary Deprivation of Liberty_A1788|Violation of Freedom of Expression_1_A1788|Violation of Freedom of Expression_2_A1788|Violation of Right to Health_1_A1788|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1788|Violation of Right to Health_2_A1788|Violation of Right to Health_3_A1788|Violation of Freedom of Expression_3_A1788|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1788|Forced Labour_2_A1788|Torture & CID_1_A1788|Forced Labour_1_A1788|Torture & CID_2_A1788|Torture & CID_3_A1788",,,,,"Onsong County MSS Detention Centre|Onsong County Labour Training Centre","North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea","Detention Centre|Labour Training Centre",,,Published
A2051,09/12/2022,Detainees,N/A,30-39,Named,Male,Transferred to further penal facility,01/10/2001~30/11/2001,"Arbitrary Deprivation of Liberty_A2051|Violation of Freedom of Expression_A2051|Violation of Right to Health_A2051|Torture & CID_A2051|Forced Labour_A2051",,,,,"Ryanggang Provincial Prosecutor's Office|Hyesan City Labour Training Centre","Ryanggang|Ryanggang","Other North Korean government organisation|People's Committee of North Korea","Temporary Detention Facility::Office|Labour Training Centre",,,Published
A1994,09/12/2022,Detainees,Women,60-69,Unnamed,Female,Unknown,01/11/2001~30/11/2001,Torture & CID_A1994,,,,,Hyesan City Labour Training Centre,Ryanggang,People's Committee of North Korea,Labour Training Centre,,,Published
A1993,09/12/2022,Detainees,Women,20-29,Partially named,Female,Unknown,01/11/2001~30/11/2001,"Violation of Right to Health_A1993|Violation of Freedom of Expression_A1993|Forced Labour_A1993|Torture & CID_A1993",,,,,Hyesan City Labour Training Centre,Ryanggang,People's Committee of North Korea,Labour Training Centre,,,Published
A1992,09/12/2022,Detainees,N/A,Unknown,Unnamed,Male,Death in custody,01/11/2001~30/11/2001,"Violation of Freedom of Expression_A1992|Forced Labour_A1992|Violation of Right to Health_A1992|Torture & CID_A1992|Violation of the Right to Life_A1992",,,,,Hyesan City Labour Training Centre,Ryanggang,People's Committee of North Korea,Labour Training Centre,,,Published
A1984,09/12/2022,Detainees,N/A,20-29,Named,Male,Unknown,01/10/2001~30/11/2001,"Arbitrary Deprivation of Liberty_A1984|Violation of Freedom of Expression_A1984|Violation of Right to Health_A1984|Forced Labour_A1984",,,,,"Ryanggang Provincial Prosecutor's Office|Hyesan City Labour Training Centre","Ryanggang|Ryanggang","Other North Korean government organisation|People's Committee of North Korea","Temporary Detention Facility::Office|Labour Training Centre",,,Published
A1983,09/12/2022,Detainees,N/A,30-39,Partially named,Male,Unknown,01/10/2001~30/11/2001,"Arbitrary Deprivation of Liberty_A1983|Violation of Freedom of Expression_A1983|Violation of Right to Health_A1983|Forced Labour_A1983",,,,,"Hyesan City Labour Training Centre|Ryanggang Provincial Prosecutor's Office","Ryanggang|Ryanggang","People's Committee of North Korea|Other North Korean government organisation","Labour Training Centre|Temporary Detention Facility::Office",,,Published
A1982,09/12/2022,Detainees,N/A,30-39,Partially named,Male,Unknown,01/10/2001~30/11/2001,"Arbitrary Deprivation of Liberty_A1982|Violation of Freedom of Expression_A1982|Violation of Right to Health_A1982|Forced Labour_A1982",,,,,"Hyesan City Labour Training Centre|Ryanggang Provincial Prosecutor's Office","Ryanggang|Ryanggang","People's Committee of North Korea|Other North Korean government organisation","Labour Training Centre|Temporary Detention Facility::Office",,,Published
A1981,09/12/2022,Detainees,N/A,30-39,Named,Male,Released from all facilities,01/11/2001~30/11/2001,"Arbitrary Deprivation of Liberty_A1981|Violation of Freedom of Expression_2_A1981|Violation of Freedom of Expression_1_A1981|Violation of Right to Health_1_A1981|Violation of Right to Health_2_A1981|Violation of the Right to a Fair Trial_A1981|Forced Labour_A1981|Torture & CID_1_A1981|Torture & CID_2_A1981",,,,,"Ryanggang Provincial Prosecutor's Office|Hyesan City Labour Training Centre","Ryanggang|Ryanggang","Other North Korean government organisation|People's Committee of North Korea","Temporary Detention Facility::Office|Labour Training Centre",,,Published
A2108,08/12/2022,Detainees,Women,40-49,Unnamed,Female,Unknown,01/04/2004~30/04/2004,Torture & CID_A2108,,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2107,08/12/2022,Detainees,N/A,20-29,Unnamed,Male,Unknown,01/04/2004~30/04/2004,"Violation of Right to Health_A2107|Torture & CID_A2107",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2106,08/12/2022,Detainees,Women,20-29,Unnamed,Female,Unknown,01/04/2004~30/04/2004,"Violation of Right to Health_A2106|Torture & CID_A2106",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2105,08/12/2022,Detainees,Women,20-29,Unnamed,Female,Unknown,01/04/2004~30/04/2004,"Violation of Right to Health_A2105|Torture & CID_A2105",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2104,08/12/2022,Detainees,Women,20-29,Unnamed,Female,Unknown,01/04/2004~30/04/2004,"Arbitrary Deprivation of Liberty_A2104|Torture & CID_A2104",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2103,08/12/2022,Detainees,Women,20-29,Unnamed,Female,Unknown,01/04/2004~30/04/2004,"Arbitrary Deprivation of Liberty_A2103|Torture & CID_A2103",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2102,08/12/2022,Detainees,Women,20-29,Unnamed,Female,Unknown,01/04/2004~30/04/2004,"Torture & CID_A2102|Arbitrary Deprivation of Liberty_A2102",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2101,08/12/2022,Detainees,Women,20-29,Unnamed,Female,Death in custody,01/05/2004~30/06/2004,"Violation of the Right to Life_A2101|Violation of Right to Health_A2101|Torture & CID_A2101",,,,,Hoeryong City MPS Detention Centre,North Hamgyong,Ministry of People's Security,Detention Centre,,,Published
A2100,08/12/2022,Detainees,Women,20-29,Unnamed,Female,Unknown,01/04/2004~30/04/2004,"Torture & CID_A2100|Violation of Right to Health_A2100",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2099,08/12/2022,Detainees,Women,30-39,Named,Female,Released from all facilities,01/04/2004~30/06/2004,"Violation of Right to Health_1_A2099|Arbitrary Deprivation of Liberty_A2099|Rape & Other Forms of Sexual Violence_A2099|Violation of Right to Health_2_A2099|Torture & CID_1_A2099|Torture & CID_2_A2099|Sexual and Gender-based Violence_A2099",,,,,"Onsong County MSS Detention Centre|Hoeryong City MPS Detention Centre","North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security","Detention Centre|Detention Centre",,,Published
A1863,08/12/2022,Detainees,N/A,70-79,Unnamed,Male,Death in custody,01/04/2006~30/11/2006,Violation of the Right to Life_A1863,,,,,North Hamgyong Provincial MSS Counterespionage Bureau Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1862,08/12/2022,Detainees,N/A,40-49,Named,Male,Released from all facilities,01/04/2006~30/04/2007,"Arbitrary Deprivation of Liberty_A1862|Violation of Freedom of Expression_1_A1862|Violation of Freedom of Expression_3_A1862|Violation of Freedom of Expression_2_A1862|Violation of Freedom of Expression_4_A1862|Violation of Right to Health_1_A1862|Violation of Right to Health_3_A1862|Violation of Right to Health_2_A1862|Violation of Right to Health_4_A1862|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1862|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1862|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A1862|Violation of the Right to Freedom of Conscience, Thought and Religion_4_A1862|Violation of the Right to a Fair Trial_A1862|Torture & CID_1_A1862|Torture & CID_2_A1862|Torture & CID_3_A1862|Torture & CID_4_A1862",,,,,"Hoeryong City MSS Office|North Hamgyong Provincial MPS Holding Centre (Nongpo)|North Hamgyong Provincial MPS Detention Centre|North Hamgyong Provincial MSS Counterespionage Bureau Detention Centre|North Hamgyong Provincial MPS Waiting Room","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Ministry of State Security|Ministry of People's Security","Temporary Detention Facility::Office|Holding Centre|Detention Centre|Detention Centre|Waiting Room",,,Published
A1893,08/12/2022,Detainees,"Women|Detainees with Disabilities ",50-59,Unnamed,Female,Unknown,01/02/2007~28/02/2007,"Violation of Freedom of Expression_A1893|Violation of Right to Health_A1893|Arbitrary Deprivation of Liberty_A1893|Torture & CID_A1893|Violation of the Rights of Detainees with Disabilities_A1893",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1892,08/12/2022,Detainees,Women,20-29,Unnamed,Female,Unknown,01/02/2007~28/02/2007,"Arbitrary Deprivation of Liberty_A1892|Violation of Freedom of Expression_A1892|Violation of Right to Health_A1892|Torture & CID_A1892",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1891,08/12/2022,Detainees,"Women|Children",10-19,Unnamed,Female,Unknown,01/05/2007~01/01/2010,"Violation of Right to Health_A1891|Forced Labour_A1891|Torture & CID_A1891",,,,,Chongori Re-education Camp,North Hamgyong,Ministry of People's Security,Re-education Camp ,,,Published
A1890,08/12/2022,Detainees,"Women|Pregnant Women",20-29,Unnamed,Female,Unknown,01/02/2007~28/02/2007,"Arbitrary Deprivation of Liberty_A1890|Violation of Freedom of Expression_A1890|Torture & CID_A1890|Violation of Right to Health_A1890|Sexual and Gender-based Violence_A1890",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1889,08/12/2022,Detainees,Women,30-39,Named,Female,Released from all facilities,01/02/2006~31/01/2010,"Arbitrary Deprivation of Liberty_A1889|Violation of Right to Health_1_A1889|Violation of Right to Health_2_A1889|Violation of Freedom of Expression_A1889|Forced Labour_A1889|Torture & CID_1_A1889|Violation of Right to Health_3_A1889|Violation of the Right to a Fair Trial_A1889|Torture & CID_2_A1889|Torture & CID_3_A1889|Torture & CID_4_A1889",,,,,"Chongori Re-education Camp|Onsong County MSS Detention Centre|Onsong County Labour Training Centre|Onsong County MPS Detention Centre|Onsong County Pungin-gu MPS Sub-municipal Station Office","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of People's Security|Ministry of State Security|People's Committee of North Korea|Ministry of People's Security|Ministry of People's Security","Re-education Camp |Detention Centre|Labour Training Centre|Detention Centre|Temporary Detention Facility::Office",,,Published
A1968,08/12/2022,Detainees,"Women|Children",10-19,Unnamed,Female,Circumstantial evidence of transfer to a political prison camp ,01/11/2003~31/08/2004,"Arbitrary Deprivation of Liberty_A1968|Violation of the Right to Freedom of Conscience, Thought and Religion_A1968|Violation of Right to Health_A1968|Violation of the Rights of Children_A1968|Violation of Freedom of Expression_A1968|Torture & CID_A1968",,,,,Kyonghung (Undok) County MPS Detention Centre,North Hamgyong,Ministry of People's Security,Detention Centre,,,Published
A1967,08/12/2022,Detainees,N/A,40-49,Unnamed,Male,Circumstantial evidence of transfer to a political prison camp ,01/11/2003~31/08/2004,"Arbitrary Deprivation of Liberty_A1967|Violation of Freedom of Expression_A1967|Torture & CID_A1967|Violation of Right to Health_A1967|Violation of the Right to Freedom of Conscience, Thought and Religion_A1967",,,,,Kyonghung (Undok) County MPS Detention Centre,North Hamgyong,Ministry of People's Security,Detention Centre,,,Published
A1966,08/12/2022,Detainees,Women,50-59,Unnamed,Female,Circumstantial evidence of transfer to a political prison camp ,01/11/2003~31/08/2004,"Violation of Freedom of Expression_A1966|Violation of Right to Health_A1966|Violation of the Right to Freedom of Conscience, Thought and Religion_A1966|Torture & CID_A1966",,,,,Kyonghung (Undok) County MPS Detention Centre,North Hamgyong,Ministry of People's Security,Detention Centre,,,Published
A1965,08/12/2022,Detainees,Women,50-59,Named,Female,Death in custody,01/08/2004~31/10/2005,"Violation of Freedom of Expression_A1965|Violation of Right to Health_A1965|Violation of the Right to Freedom of Conscience, Thought and Religion_A1965|Torture & CID_A1965|Violation of the Right to Life_A1965",,,,,Oro Re-education Camp ,South Hamgyong,Ministry of People's Security,Re-education Camp ,,,Published
A1964,08/12/2022,Detainees,Women,30-39,Named,Female,Released from all facilities,01/08/2003~31/10/2005,"Violation of Freedom of Expression_1_A1964|Violation of Freedom of Expression_2_A1964|Arbitrary Deprivation of Liberty_A1964|Violation of Right to Health_1_A1964|Violation of Freedom of Expression_3_A1964|Violation of Right to Health_2_A1964|Violation of Right to Health_3_A1964|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1964|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1964|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A1964|Violation of the Right to a Fair Trial_A1964|Forced Labour_A1964|Rape & Other Forms of Sexual Violence_A1964|Torture & CID_2_A1964|Torture & CID_1_A1964|Torture & CID_3_A1964",,,,,"North Pyongan Provincial MSS Detention Centre|Kyonghung (Undok) County MPS Detention Centre|Oro Re-education Camp ","North Pyongan|North Hamgyong|South Hamgyong","Ministry of State Security|Ministry of People's Security|Ministry of People's Security","Detention Centre|Detention Centre|Re-education Camp ",,,Published
A1884,08/12/2022,Detainees,Women,20-29,Unnamed,Female,Unknown,01/04/2007~30/09/2007,Rape & Other Forms of Sexual Violence_A1884,,,,,Chongjin City Pohang District Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A1883,08/12/2022,Detainees,"Women|Pregnant Women",30-39,Unnamed,Female,Unknown,01/04/2007~30/09/2007,Torture & CID_A1883,,,,,Chongjin City Pohang District Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A1881,08/12/2022,Detainees,Women,20-29,Named,Female,Released from all facilities,01/04/2007~30/09/2007,"Arbitrary Deprivation of Liberty_A1881|Violation of Freedom of Expression_2_A1881|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1881|Violation of Right to Health_1_A1881|Violation of Freedom of Expression_1_A1881|Violation of Right to Health_2_A1881|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1881|Forced Labour_A1881|Torture & CID_1_A1881|Torture & CID_2_A1881",,,,,"Chongjin City Pohang District MSS Waiting Room|Chongjin City Pohang District Labour Training Centre","North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea","Waiting Room|Labour Training Centre",,,Published
